,genus,genus_count,effector_count,effectors
789,Culicoides,128,26,"4, 7, 10, 11, 12, 17, 23, 29, 30, 32, 41, 46, 50, 57, 65, 73, 76, 77, 78, 81, 90, 91, 92, 93, 94, 95"
723,Diaphorina,128,31,"1, 7, 10, 11, 12, 17, 21, 22, 23, 29, 30, 32, 38, 41, 43, 46, 50, 57, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
328,Callosobruchus,126,30,"1, 7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 94, 95, 100"
124,Serratia,126,18,"1, 4, 11, 15, 32, 57, 58, 65, 66, 70, 73, 76, 81, 85, 92, 94, 95, 100"
511,Chilo,125,25,"1, 7, 10, 12, 17, 23, 29, 30, 32, 41, 43, 46, 50, 73, 76, 77, 78, 81, 85, 90, 91, 93, 94, 95, 100"
60,Chlamydia,123,17,"1, 15, 32, 38, 46, 57, 58, 66, 70, 76, 77, 81, 85, 90, 92, 94, 100"
1179,Cuerna,123,29,"10, 11, 12, 15, 17, 22, 23, 24, 29, 30, 38, 41, 43, 46, 50, 57, 65, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 94, 95"
125,Fusarium,123,21,"1, 15, 24, 32, 38, 57, 58, 66, 70, 73, 76, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
335,Bactrocera,123,26,"1, 7, 11, 12, 17, 23, 24, 29, 30, 32, 41, 43, 46, 50, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
1107,Cinara,122,32,"7, 10, 11, 12, 15, 17, 23, 24, 29, 30, 40, 41, 43, 46, 50, 57, 64, 66, 70, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
1080,Asbolus,120,26,"7, 10, 11, 12, 17, 23, 29, 30, 41, 46, 50, 57, 58, 65, 70, 73, 76, 77, 78, 79, 90, 91, 93, 94, 95, 100"
817,Bicyclus,119,22,"4, 7, 10, 11, 12, 17, 23, 29, 30, 41, 46, 73, 74, 76, 77, 78, 79, 81, 90, 91, 93, 95"
